ward_name,Corporation,ac,year,NDVI_mean,NDBI_mean,LST_mean
21 - Uday Nagar,East,K.R. Pura,2020,0.16520270416229452,0.054266869254096566,37.67215574341975
91 - Gali Anjaneya Temple Ward,West,Vijayanagar,2020,0.20750078960698085,0.05079777407944045,39.40501638365703
40 - Mahalakshmipuram,West,Mahalakshmi Layout,2020,0.18953639972650285,0.03823511824780259,38.353417997689355
56 - Doresanipalya,South,Bommanahalli,2020,0.3283060960288291,-9.51232892969807E-4,35.173575118613854
56 - Hebbal,North,Hebbal,2020,0.2273088620950585,0.04629837638389709,39.324114195024485
38 - Whitefield,East,Mahadevapura,2020,0.2740574324257475,0.05038549989285111,31.745431042535394
32 - SilverJubilee Park Ward,Central,Chickpet,2020,0.1534485632767085,0.0863225802292007,39.8520379908198
52 - Vishwanatha Nagenahalli,North,Hebbal,2020,0.15708726045219062,0.06601412764864363,39.86065818824066
29 - Lingarajpura,North,Sarvagnanagar,2020,0.210138864559289,0.07002702482916416,39.15781714409391
23 - Hennur,North,Sarvagnanagar,2020,0.2118834567150544,0.05868276212195272,38.98736997181738
33 - HRBR Layout,North,Sarvagnanagar,2020,0.15916758315035262,0.06444305114004034,38.431899480886244
50 - Gunjur,East,Mahadevapura,2020,0.2909941589691108,0.09448862225875694,33.63023911785578
57 - Hulimavu,South,Bommanahalli,2020,0.23652238785408836,0.05765771450545498,37.333669769643365
6 - Doddabettahalli,North,Yelahanka,2020,0.29539488948150183,0.04713257481429397,38.081945748555015
44 - Chamarajpet,Central,Chamrajapet,2020,0.24080465751202157,0.028462958383845997,38.88863616255464
30 - Kacharakanahalli,North,Sarvagnanagar,2020,0.22767950923964936,0.03385459130373348,38.664818444143265
55 - Ganganagar,North,Hebbal,2020,0.17844041697464866,0.05983560231063814,39.212735193029495
54 - Gangenahalli,North,Hebbal,2020,0.3748234648666821,-0.026763464278140234,37.04473777113685
28 - Kormangala East,South,B.T.M Layout,2020,0.2985153618804009,-0.003571489377579299,35.1396630664753
22 - Nagavara,North,Sarvagnanagar,2020,0.1638617902795596,0.0899916407477736,40.550644772529935
30 - Kempegowda Layout,West,Rajarajeshwarinagar,2020,0.16014777028663252,0.0642305705139414,40.1141033266477
